
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,

specie1,specie2,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,
100,0,

96,4,
95,5,
98,2,
92,8,
91,9,
95,5,
92,8,
97,3,
98,2,
96,4,
96,4,
94,6,
93,7,
97,3,
97,3,
97,3,
98,2,
93,7,
96,4,
94,6,
97,3,
97,3,
93,7,
94,6,
97,3,
95,5,
98,2,
97,3,
95,5,
93,7,
98,2,
100,0,
90,10,
94,6,
95,5,
94,6,
93,7,
96,4,
95,5,
91,9,
91,9,
92,8,
96,4,
94,6,
95,5,
91,9,
95,5,
93,7,
95,5,
98,2,
92,8,
89,11,
93,7,
97,3,
96,4,
95,5,
99,1,
94,6,
93,7,
95,5,
93,7,
92,8,
94,6,
97,3,
96,4,
93,7,
94,6,
96,4,
96,4,
97,3,
98,2,
97,3,
92,8,
96,4,
94,6,
95,5,
98,2,
98,2,
94,6,
98,2,
95,5,
96,4,
93,7,
94,6,
94,6,
92,8,
94,6,
95,5,
93,7,
94,6,
98,2,
96,4,
98,2,
95,5,
94,6,
91,9,
100,0,
91,9,
99,1,
97,3,

94,6,
87,13,
94,6,
86,14,
83,17,
91,9,
89,11,
90,10,
91,9,
90,10,
94,6,
86,14,
82,18,
95,5,
91,9,
89,11,
94,6,
89,11,
91,9,
89,11,
90,10,
91,9,
90,10,
88,12,
91,9,
89,11,
95,5,
90,10,
89,11,
89,11,
91,9,
90,10,
84,16,
87,13,
92,8,
84,16,
88,12,
93,7,
86,14,
87,13,
86,14,
83,17,
94,6,
90,10,
94,6,
88,12,
87,13,
87,13,
91,9,
94,6,
89,11,
85,15,
89,11,
91,9,
92,8,
89,11,
92,8,
86,14,
90,10,
